inspection_no,date,status,description,url,num_violations
13821288,2022-05-16,PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13821288,0
13813188,2022-05-16,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13813188,0
13808208,2022-05-13,FAILED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13808208,1
13748085,2022-04-25,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13748085,2
13684797,2022-03-21,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13684797,2
13633105,2022-02-10,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13633105,2
13617993,2021-12-06,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13617993,4
13587202,2021-10-25,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13587202,2
12941650,2021-08-23,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12941650,4
13528258,2021-08-09,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13528258,2
13346279,2021-03-03,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13346279,20
13175960,2020-11-30,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13175960,10
12770690,2019-05-30,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12770690,0
12670542,2019-05-21,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12670542,6
12277260,2018-08-27,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12277260,3
12418304,2018-05-30,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12418304,0
12226018,2017-06-21,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12226018,0
12136453,2017-06-21,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12136453,0
11228963,2017-06-19,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11228963,1
12101602,2017-04-21,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12101602,0
12214968,2017-03-22,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12214968,0
12051724,2016-12-21,FAILED,CONSERVATION COMPLAINT INSPECT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12051724,1
11750904,2016-11-03,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11750904,0
11986288,2016-09-01,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11986288,0
11787131,2016-08-24,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11787131,0
11835125,2016-08-02,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11835125,0
11933971,2016-08-02,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11933971,0
11413712,2015-10-23,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11413712,0
11623884,2015-08-28,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11623884,0
11244373,2015-07-28,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11244373,0
11014536,2015-07-28,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11014536,0
11542833,2015-07-20,PASSED,SIGN ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11542833,0
11598664,2015-06-02,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11598664,4
11497331,2015-05-20,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11497331,6
11224848,2015-02-27,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11224848,3
11074793,2014-10-15,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11074793,0
10934450,2014-09-19,PASSED,STRUCTURAL SIGN INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10934450,0
10934449,2014-09-19,PASSED,SIGN PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10934449,0
10995934,2014-04-04,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10995934,0
10895288,2013-12-18,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10895288,0
10789690,2013-12-04,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10789690,0
10775620,2013-10-22,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10775620,0
10912983,2013-10-01,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10912983,0
11002791,2013-10-01,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11002791,1
10715924,2013-08-21,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10715924,4
10270889,2012-10-16,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10270889,1
10681952,2012-08-28,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10681952,0
10740771,2012-08-28,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10740771,0
10560743,2012-05-23,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10560743,0
9995366,2012-04-09,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9995366,0
10411517,2012-03-07,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10411517,0
10530867,2012-02-21,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10530867,1
10230414,2011-10-27,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10230414,1
10167186,2011-09-12,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10167186,0
10155814,2011-07-13,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10155814,0
9952632,2011-05-05,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9952632,6
10089951,2011-02-22,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10089951,0
10002293,2011-01-12,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10002293,0
10002295,2011-01-12,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10002295,1
2374203,2010-10-04,PASSED,REFRIGERATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2374203,0
9974938,2010-09-09,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9974938,4
2677167,2010-09-09,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2677167,1
9762140,2010-09-02,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9762140,1
9959603,2010-06-30,FAILED,CONSERVATION COMPLAINT INSPECT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9959603,1
2688652,2010-06-15,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2688652,2
9748377,2010-02-11,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9748377,0
2354095,2009-12-29,PASSED,PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2354095,0
2639899,2009-08-21,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2639899,0
1896682,2009-07-27,CLOSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1896682,0
2576872,2009-03-25,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2576872,0
2565707,2009-03-25,PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2565707,0
2576870,2009-03-25,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2576870,0
2408216,2009-03-25,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408216,0
2648465,2009-03-04,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2648465,4
2559724,2009-01-30,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2559724,0
2408214,2009-01-30,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408214,0
2408213,2009-01-30,PARTIAL PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408213,0
2559720,2009-01-29,PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2559720,0
2565706,2009-01-26,PARTIAL PASSED,DOB PLUMBING INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2565706,0
2008609,2009-01-23,PASSED,CONSTRUCTION EQUIPMENT PERMIT,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2008609,0
2561851,2009-01-21,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561851,0
2561849,2009-01-21,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561849,0
2561850,2009-01-21,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561850,0
2564084,2009-01-21,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2564084,0
2510789,2009-01-21,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2510789,0
